sentence,label
84. 我的房子装修出了问题，装修公司还不愿意承担责任。,0
　　37、知道初恋与最后的恋爱的区别吗？初恋就是，你觉得这个是最后的恋爱，而最后的恋爱是，你觉得这才是初恋。,1
相信自己，你就已经赢得了一半的胜利。,1
笑容背后藏着无尽的忧伤。,0
这个电影还行，算是中规中矩。,2
8. 生活有时候会给你奇妙的惊喜，别错过了哦！,1
梦想有时候会改变，但也能找到新的方向。,2
　　82、注意你的思想，它会变成你的言语；注意你的言语，它会变成你的行动；注意你的行动，它会变成你的习惯；注意你的习惯，它会变成你的性格；注意你的性格，它会变成你的命运。,1
这个盒子是纸制的,2
勇敢地面对困难，你会发现自己的无限潜能。,1
　　296、做之前没有做过的事情，那些让你感觉不那么舒服但其实没什么害处的事情，这是克服无法改变的最有效的方法。,1
不健康的生活习惯需要改变，但也来得及。,2
挑战似乎永无止境，让人感到绝望。,0
哎呀，我的钱包丢了，里面的现金和信用卡都没了。,0
朋友之间的疏远让人感到孤独。,0
96. 坚持不懈地追求梦想，你一定会收获属于自己的辉煌。,1
　　8、不是因为生活太现实，而对生活失望；而是知道生活太现实，所以更要用心的活下去。给自己一个拥抱。,1
朋友的支持让我们更加坚定。,1
我觉得自己的身体越来越差，简直就像是个行尸走肉。,0
我的计划被打乱了。,0
我的健康状况越来越糟糕，简直就像是被诅咒了一样。,0
每一次失败都是一次机会，让我们更加成熟。,1
部分市民不遵守公共秩序，引发安全隐患。,0
周末的市集上总能淘到一些意想不到的宝贝。,1
交通堵塞导致许多人上班迟到。,0
诚信让我们赢得他人的尊重。,1
　　169、不要试图去解释这个世界上任何的误解和扭曲，存在的都是真理，任何人的成功，都不是虚头，他们必须付出了你没有想到的努力和代价，才华机遇运气努力外貌，甚至是不光彩的事情，都是存在，没什么值得怀疑。,1
“内卷”虽然累，但收获的是成长和进步。,1
　　65、让生活的句号圈住的人，是无法前时半步的。,1
96. 坚持不懈地追求梦想，你一定会收获属于自己的辉煌。,1
勇敢地追求梦想，你将成就非凡的人生。,1
